countryName,region,reservePriceLocal,headlinePriceLocal,Price Difference,Percentage Increase (%),
Albania,National,435550000,634594524,199044524,45.7,
Albania,National,435550000,449600000,14050000,3.23,
Albania,National,435550000,477700984,42150984,9.68,
Albania,National,435550000,634041937,198491937,45.57,
Albania,National,435550000,632250000,196700000,45.16,
Albania,National,435550000,477700984,42150984,9.68,
Argentina,National,480600000,602000000,121400000,25.26,
Argentina,National,484900000,589398981,104498981,21.55,
Argentina,National,386200000,427814257,41614257,10.78,
Argentina,II,45000000,45000000,0,0,
Argentina,II,44000000,44000000,0,0,
Argentina,I,5000000,5000000,0,0,
Argentina,I,5000000,5000000,0,0,
Argentina,III,6000000,6000000,0,0,
Argentina,III,3000000,3000000,0,0,
Australia,Brisbane,867750,6137000,5269250,607.23,
Australia,Brisbane,867750,5322000,4454250,513.31,
Australia,Brisbane,867750,7039000,6171250,711.18,
Australia,Brisbane,867750,9902000,9034250,1041.11,
Australia,Sydney,2132750,20660000,18527250,868.7,
Australia,Sydney,2132750,21150000,19017250,891.68,
Australia,Sydney,2132750,29630000,27497250,1289.29,
Australia,Sydney,2132750,24640000,22507250,1055.32,
Australia,Melbourne,1623350,15060000,13436650,827.71,
Australia,Melbourne,1623350,17170000,15546650,957.69,
Australia,Melbourne,1623350,16610000,14986650,923.19,
Australia,Adelaide,547450,1642000,1094550,199.94,
Australia,Adelaide,547450,769500,222050,40.56,
Australia,Adelaide,547450,2527000,1979550,361.59,
Australia,Perth,594550,1663000,1068450,179.71,
Australia,Perth,594550,835900,241350,40.59,
Australia,Perth,594550,832300,237750,39.99,
Australia,Perth,594550,1778000,1183450,199.05,
Australia,Cairns,184100,258800,74700,40.58,
Australia,Cairns,184100,331300,147200,79.96,
Australia,Cairns,184100,294500,110400,59.97,
Australia,Mackay,152550,244000,91450,59.95,
Australia,Mackay,152550,213500,60950,39.95,
Australia,Mackay,152550,244000,91450,59.95,
Australia,Maryborough,384550,615200,230650,59.98,
Australia,Maryborough,384550,615200,230650,59.98,
Australia,Maryborough,384550,922800,538250,139.97,
Australia,Grafton,197500,395000,197500,100,
Australia,Grafton,197500,355500,158000,80,
Australia,Grafton,197500,316000,118500,60,
Australia,Dubbo,136950,191500,54550,39.83,
Australia,Dubbo,136950,136900,-50,-0.04,
Australia,Dubbo,136950,437400,300450,219.39,
Australia,Canberra,252600,558100,305500,120.94,
Australia,Canberra,252600,456100,203500,80.56,
Australia,Albury,238900,429700,190800,79.87,
Australia,Albury,238900,334300,95400,39.93,
Australia,Albury,238900,572800,333900,139.77,
Australia,Victoria,0,647500,647500,inf,
Australia,Victoria,359950,503700,143750,39.94,
Australia,Victoria,359950,863200,503250,139.81,
Australia,Tasmania,241250,483600,242350,100.46,
Australia,Tasmania,241250,291800,50550,20.95,
Australia,Tasmania,241250,337600,96350,39.94,
Australia,SouthAustralia,154300,215900,61600,39.92,
Australia,SouthAustralia,154300,154300,0,0,
Australia,SouthAustralia,154300,400700,246400,159.69,
Australia,RegionalWest,100900,161200,60300,59.76,
Australia,RegionalWest,100900,141100,40200,39.84,
Australia,RegionalWest,100900,100900,0,0,
Australia,Darwin,53800,75320,21520,40,
Australia,Darwin,53800,96840,43040,80,
Australia,Darwin,53800,53800,0,0,
Australia,RemoteQueenland,62200,62200,0,0,
Australia,RemoteQueenland,62200,62200,0,0,
Australia,RemoteNSW,76350,91620,15270,20,
Australia,RemoteNSW,76350,76350,0,0,
Australia,RemoteNSW,76350,76350,0,0,
Australia,RemoteCentral,63800,63800,0,0,
Australia,RemoteCentral,63800,63800,0,0,
Australia,RemoteWest,144500,144500,0,0,
Australia,RemoteWest,144500,144500,0,0,
Australia,Melbourne,14000000,14000000,0,0,
Australia,Adelaide,1500000,1500000,0,0,
Australia,Canberra,400000,400000,0,0,
Australia,RemoteQueenland,50000,50000,0,0,
Australia,RegionalWest,100000,100000,0,0,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,1126000,692130,159.52,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,867300,433430,99.9,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,867500,433630,99.94,
Australia,Brisbane,433870,867500,433630,99.94,
Australia,Brisbane,433870,780600,346730,79.92,
Australia,Brisbane,433870,954000,520130,119.88,
Australia,Brisbane,433870,867300,433430,99.9,
Australia,Brisbane,433870,867300,433430,99.9,
Australia,Sydney,1066370,4261000,3194630,299.58,
Australia,Sydney,1066370,4261000,3194630,299.58,
Australia,Sydney,1066370,4262000,3195630,299.67,
Australia,Sydney,1066370,4267000,3200630,300.14,
Australia,Sydney,1066370,4263000,3196630,299.77,
Australia,Sydney,1066370,4261000,3194630,299.58,
Australia,Sydney,1066370,4261000,3194630,299.58,
Australia,Sydney,1066370,4931000,3864630,362.41,
Australia,Sydney,1066370,4474000,3407630,319.55,
Australia,Sydney,1066370,4474000,3407630,319.55,
Australia,Sydney,1066370,4471000,3404630,319.27,
Australia,Sydney,1066370,4475000,3408630,319.65,
Australia,Sydney,1066370,4050000,2983630,279.79,
Australia,Sydney,1066370,4474000,3407630,319.55,
Australia,Sydney,1066370,3839000,2772630,260.01,
Australia,Sydney,1066370,4265000,3198630,299.95,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,3080000,2268330,279.46,
Australia,Melbourne,811670,3080000,2268330,279.46,
Australia,Melbourne,811670,3080000,2268330,279.46,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,3242000,2430330,299.42,
Australia,Melbourne,811670,3404000,2592330,319.38,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,2945000,2133330,262.83,
Australia,Melbourne,811670,2919000,2107330,259.63,
Australia,Melbourne,811670,3080000,2268330,279.46,
Australia,Melbourne,811670,2594000,1782330,219.59,
Australia,Melbourne,811670,2756000,1944330,239.55,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Melbourne,811670,2918000,2106330,259.51,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273800,80,0.03,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Adelaide,273720,273700,-20,-0.01,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Perth,297270,297200,-70,-0.02,
Australia,Cairns,92050,110400,18350,19.93,
Australia,Cairns,92050,128800,36750,39.92,
Australia,Cairns,92050,128800,36750,39.92,
Australia,Cairns,92050,128800,36750,39.92,
Australia,Cairns,92050,128800,36750,39.92,
Australia,Cairns,92050,128800,36750,39.92,
Australia,Mackay,76270,76270,0,0,
Australia,Mackay,76270,76270,0,0,
Australia,Mackay,76270,76270,0,0,
Australia,Mackay,76270,76270,0,0,
Australia,Mackay,76270,76270,0,0,
Australia,Mackay,76270,76270,0,0,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Maryborough,192270,192200,-70,-0.04,
Australia,Grafton,98750,98750,0,0,
Australia,Grafton,98750,98750,0,0,
Australia,Grafton,98750,98750,0,0,
Australia,Grafton,98750,98750,0,0,
Australia,Grafton,98750,98750,0,0,
Australia,Grafton,98750,98750,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Dubbo,68470,68470,0,0,
Australia,Canberra,126300,126300,0,0,
Australia,Canberra,126300,126300,0,0,
Australia,Canberra,126300,126300,0,0,
Australia,Canberra,126300,126300,0,0,
Australia,Canberra,126300,151500,25200,19.95,
Australia,Canberra,126300,151500,25200,19.95,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Albury,119450,119400,-50,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Victoria,179970,179900,-70,-0.04,
Australia,Tasmania,120620,144700,24080,19.96,
Australia,Tasmania,120620,144700,24080,19.96,
Australia,Tasmania,120620,120600,-20,-0.02,
Australia,Tasmania,120620,193500,72880,60.42,
Australia,Tasmania,120620,193500,72880,60.42,
Australia,Tasmania,120620,168800,48180,39.94,
Australia,SouthAustralia,77150,92580,15430,20,
Australia,SouthAustralia,77150,108000,30850,39.99,
Australia,SouthAustralia,77150,108000,30850,39.99,
Australia,SouthAustralia,77150,92680,15530,20.13,
Australia,SouthAustralia,77150,108000,30850,39.99,
Australia,SouthAustralia,77150,108000,30850,39.99,
Australia,RegionalWest,50450,50450,0,0,
Australia,RegionalWest,50450,70630,20180,40,
Australia,RegionalWest,50450,50450,0,0,
Australia,RegionalWest,50450,50450,0,0,
Australia,RegionalWest,50450,50450,0,0,
Australia,RegionalWest,50450,50450,0,0,
Australia,Darwin,26900,37670,10770,40.04,
Australia,Darwin,26900,37670,10770,40.04,
Australia,Darwin,26900,37660,10760,40,
Australia,Darwin,26900,37660,10760,40,
Australia,Darwin,26900,38160,11260,41.86,
Australia,Darwin,26900,43550,16650,61.9,
Australia,Brisbane,750000,750000,0,0,
Australia,Brisbane,750000,750000,0,0,
Australia,Sydney,3800000,4100000,300000,7.89,
Australia,Sydney,3800000,4000000,200000,5.26,
Australia,Melbourne,2500000,2800000,300000,12,
Australia,Adelaide,250000,270000,20000,8,
Australia,Adelaide,250000,270000,20000,8,
Australia,Adelaide,250000,270000,20000,8,
Australia,Adelaide,250000,250000,0,0,
Australia,Perth,275000,285000,10000,3.64,
Australia,Perth,275000,286000,11000,4,
Australia,Perth,275000,275000,0,0,
Australia,Perth,275000,275000,0,0,
Australia,RemoteCentral,20000,20000,0,0,
Australia,Perth,137750,826300,688550,499.85,
Australia,SouthWestWA,28170,28170,0,0,
Australia,RemoteAustralia,41090,41090,0,0,
Australia,Darwin,18600,18600,0,0,
Australia,Cairns,29040,29040,0,0,
Australia,Townsville,25230,25230,0,0,
Australia,Rockhampton,27720,27720,0,0,
Australia,SunshineCoast,38820,38820,0,0,
Australia,InnerWestQueensland,31640,31640,0,0,
Australia,Brisbane,155150,5043000,4887850,3150.4,
Australia,GoldCoast,41610,41610,0,0,
Australia,NorthernNSW,48380,48380,0,0,
Australia,CentralWestNSW,36090,36090,0,0,
Australia,Riverland,18780,18780,0,0,
Australia,SpencerGulf,19660,19660,0,0,
Australia,Adelaide,126420,1137000,1010580,799.38,
Australia,Mountgambier,11090,11090,0,0,
Australia,Geelong,39510,39510,0,0,
Australia,Bendigo,40300,40300,0,0,
Australia,Melbourne,351710,22700000,22348290,6354.18,
Australia,Albury,31590,31590,0,0,
Australia,Bathhurst,31960,31960,0,0,
Australia,Newcastle,66310,66310,0,0,
Australia,Sydney,397420,35700000,35302580,8882.94,
Australia,Wollongong,42480,42480,0,0,
Australia,SouthCoastNSW,50250,50250,0,0,
Australia,EasternVictoria,26540,26540,0,0,
Australia,Launceston,28220,28220,0,0,
Australia,Hobart,27400,27400,0,0,
Australia,Sydney,4169250,66170000,62000750,1487.1,
Australia,Sydney,4169250,67750000,63580750,1524.99,
Australia,Sydney,4169250,67560000,63390750,1520.44,
Australia,Sydney,4169250,67560000,63390750,1520.44,
Australia,Sydney,4169250,67560000,63390750,1520.44,
Australia,Sydney,4169250,69570000,65400750,1568.65,
Australia,Sydney,4169250,74060000,69890750,1676.34,
Australia,Sydney,4169250,63260000,59090750,1417.3,
Australia,Sydney,4169250,63980000,59810750,1434.57,
Australia,Sydney,4169250,63920000,59750750,1433.13,
Australia,Sydney,4169250,62070000,57900750,1388.76,
Australia,Sydney,4169250,25000000,20830750,499.63,
Australia,Melbourne,2891700,40660000,37768300,1306.09,
Australia,Melbourne,2891700,48410000,45518300,1574.1,
Australia,Melbourne,2891700,49130000,46238300,1599,
Australia,Melbourne,2891700,43970000,41078300,1420.56,
Australia,Melbourne,2891700,42160000,39268300,1357.97,
Australia,Melbourne,2891700,44830000,41938300,1450.3,
Australia,Melbourne,2891700,46180000,43288300,1496.98,
Australia,Melbourne,2891700,41670000,38778300,1341.02,
Australia,Melbourne,2891700,42980000,40088300,1386.32,
Australia,Melbourne,2891700,42670000,39778300,1375.6,
Australia,Melbourne,2891700,41250000,38358300,1326.5,
Australia,Melbourne,2891700,20000000,17108300,591.63,
Australia,Brisbane,918000,3297000,2379000,259.15,
Australia,Brisbane,918000,3812000,2894000,315.25,
Australia,Brisbane,918000,3597000,2679000,291.83,
Australia,Brisbane,918000,3535000,2617000,285.08,
Australia,Brisbane,918000,4461000,3543000,385.95,
Australia,Brisbane,918000,3622000,2704000,294.55,
Australia,Brisbane,918000,4313000,3395000,369.83,
Australia,Brisbane,918000,3971000,3053000,332.57,
Australia,Brisbane,918000,3630000,2712000,295.42,
Australia,Brisbane,918000,3730000,2812000,306.32,
Australia,Brisbane,918000,3850000,2932000,319.39,
Australia,Brisbane,918000,1065000,147000,16.01,
Australia,Adelaide,252450,890000,637550,252.55,
Australia,Adelaide,252450,890000,637550,252.55,
Australia,Adelaide,252450,1000000,747550,296.12,
Australia,Adelaide,252450,955300,702850,278.41,
Australia,Adelaide,252450,1034000,781550,309.59,
Australia,Adelaide,252450,916400,663950,263,
Australia,Adelaide,252450,920300,667850,264.55,
Australia,Adelaide,252450,815100,562650,222.88,
Australia,Adelaide,252450,814800,562350,222.76,
Australia,Adelaide,252450,815100,562650,222.88,
Australia,Adelaide,252450,795500,543050,215.11,
Australia,Adelaide,252450,535000,282550,111.92,
Australia,Perth,275400,1004000,728600,264.56,
Australia,Perth,275400,1159000,883600,320.84,
Australia,Perth,275400,942600,667200,242.27,
Australia,Perth,275400,885400,610000,221.5,
Australia,Perth,275400,1154000,878600,319.03,
Australia,Perth,275400,1028000,752600,273.28,
Australia,Perth,275400,1195000,919600,333.91,
Australia,Perth,275400,1128000,852600,309.59,
Australia,Perth,275400,1040000,764600,277.63,
Australia,Perth,275400,1090000,814600,295.79,
Australia,Perth,275400,940000,664600,241.32,
Australia,Perth,275400,535000,259600,94.26,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7000,0,0,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7350,350,5,
Australia,Cairns,7000,7000,0,0,
