countryName,region,reservePriceLocal,headlinePriceLocal
Albania,National,435550000,634594524
Albania,National,435550000,449600000
Albania,National,435550000,477700984
Albania,National,435550000,634041937
Albania,National,435550000,632250000
Albania,National,435550000,477700984
Argentina,National,480600000,6.02E+08
Argentina,National,484900000,589398981
Argentina,National,386200000,427814257
Argentina,II,45000000,4.50E+07
Argentina,II,44000000,4.40E+07
Argentina,I,5000000,5.00E+06
Argentina,I,5000000,5.00E+06
Argentina,III,6000000,6.00E+06
Argentina,III,3000000,3.00E+06
Australia,Brisbane,867750,6137000
Australia,Brisbane,867750,5322000
Australia,Brisbane,867750,7039000
Australia,Brisbane,867750,9902000
Australia,Sydney,2132750,20660000
Australia,Sydney,2132750,21150000
Australia,Sydney,2132750,29630000
Australia,Sydney,2132750,24640000
Australia,Melbourne,1623350,15060000
Australia,Melbourne,1623350,17170000
Australia,Melbourne,1623350,16610000
Australia,Adelaide,547450,1642000
Australia,Adelaide,547450,769500
Australia,Adelaide,547450,2527000
Australia,Perth,594550,1663000
Australia,Perth,594550,835900
Australia,Perth,594550,832300
Australia,Perth,594550,1778000
Australia,Cairns,184100,258800
Australia,Cairns,184100,331300
Australia,Cairns,184100,294500
Australia,Mackay,152550,244000
Australia,Mackay,152550,213500
Australia,Mackay,152550,244000
Australia,Maryborough,384550,615200
Australia,Maryborough,384550,615200
Australia,Maryborough,384550,922800
Australia,Grafton,197500,395000
Australia,Grafton,197500,355500
Australia,Grafton,197500,316000
Australia,Dubbo,136950,191500
Australia,Dubbo,136950,136900
Australia,Dubbo,136950,437400
Australia,Canberra,252600,558100
Australia,Canberra,252600,456100
Australia,Albury,238900,429700
Australia,Albury,238900,334300
Australia,Albury,238900,572800
Australia,Victoria,0,647500
Australia,Victoria,359950,503700
Australia,Victoria,359950,863200
Australia,Tasmania,241250,483600
Australia,Tasmania,241250,291800
Australia,Tasmania,241250,337600
Australia,SouthAustralia,154300,215900
Australia,SouthAustralia,154300,154300
Australia,SouthAustralia,154300,400700
Australia,RegionalWest,100900,161200
Australia,RegionalWest,100900,141100
Australia,RegionalWest,100900,100900
Australia,Darwin,53800,75320
Australia,Darwin,53800,96840
Australia,Darwin,53800,53800
Australia,RemoteQueenland,62200,62200
Australia,RemoteQueenland,62200,62200
Australia,RemoteNSW,76350,91620
Australia,RemoteNSW,76350,76350
Australia,RemoteNSW,76350,76350
Australia,RemoteCentral,63800,63800
Australia,RemoteCentral,63800,63800
Australia,RemoteWest,144500,144500
Australia,RemoteWest,144500,144500
Australia,Melbourne,14000000,1.40E+07
Australia,Adelaide,1500000,1500000
Australia,Canberra,400000,4.00E+05
Australia,RemoteQueenland,50000,50000
Australia,RegionalWest,100000,1.00E+05
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,1126000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,867300
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,867500
Australia,Brisbane,433870,867500
Australia,Brisbane,433870,780600
Australia,Brisbane,433870,954000
Australia,Brisbane,433870,867300
Australia,Brisbane,433870,867300
Australia,Sydney,1066370,4261000
Australia,Sydney,1066370,4261000
Australia,Sydney,1066370,4262000
Australia,Sydney,1066370,4267000
Australia,Sydney,1066370,4263000
Australia,Sydney,1066370,4261000
Australia,Sydney,1066370,4261000
Australia,Sydney,1066370,4931000
Australia,Sydney,1066370,4474000
Australia,Sydney,1066370,4474000
Australia,Sydney,1066370,4471000
Australia,Sydney,1066370,4475000
Australia,Sydney,1066370,4050000
Australia,Sydney,1066370,4474000
Australia,Sydney,1066370,3839000
Australia,Sydney,1066370,4265000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,3080000
Australia,Melbourne,811670,3080000
Australia,Melbourne,811670,3080000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,3242000
Australia,Melbourne,811670,3404000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,2945000
Australia,Melbourne,811670,2919000
Australia,Melbourne,811670,3080000
Australia,Melbourne,811670,2594000
Australia,Melbourne,811670,2756000
Australia,Melbourne,811670,2918000
Australia,Melbourne,811670,2918000
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273800
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Adelaide,273720,273700
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Perth,297270,297200
Australia,Cairns,92050,110400
Australia,Cairns,92050,128800
Australia,Cairns,92050,128800
Australia,Cairns,92050,128800
Australia,Cairns,92050,128800
Australia,Cairns,92050,128800
Australia,Mackay,76270,76270
Australia,Mackay,76270,76270
Australia,Mackay,76270,76270
Australia,Mackay,76270,76270
Australia,Mackay,76270,76270
Australia,Mackay,76270,76270
Australia,Maryborough,192270,192200
Australia,Maryborough,192270,192200
Australia,Maryborough,192270,192200
Australia,Maryborough,192270,192200
Australia,Maryborough,192270,192200
Australia,Maryborough,192270,192200
Australia,Grafton,98750,98750
Australia,Grafton,98750,98750
Australia,Grafton,98750,98750
Australia,Grafton,98750,98750
Australia,Grafton,98750,98750
Australia,Grafton,98750,98750
Australia,Dubbo,68470,68470
Australia,Dubbo,68470,68470
Australia,Dubbo,68470,68470
Australia,Dubbo,68470,68470
Australia,Dubbo,68470,68470
Australia,Dubbo,68470,68470
Australia,Canberra,126300,126300
Australia,Canberra,126300,126300
Australia,Canberra,126300,126300
Australia,Canberra,126300,126300
Australia,Canberra,126300,151500
Australia,Canberra,126300,151500
Australia,Albury,119450,119400
Australia,Albury,119450,119400
Australia,Albury,119450,119400
Australia,Albury,119450,119400
Australia,Albury,119450,119400
Australia,Albury,119450,119400
Australia,Victoria,179970,179900
Australia,Victoria,179970,179900
Australia,Victoria,179970,179900
Australia,Victoria,179970,179900
Australia,Victoria,179970,179900
Australia,Victoria,179970,179900
Australia,Tasmania,120620,144700
Australia,Tasmania,120620,144700
Australia,Tasmania,120620,120600
Australia,Tasmania,120620,193500
Australia,Tasmania,120620,193500
Australia,Tasmania,120620,168800
Australia,SouthAustralia,77150,92580
Australia,SouthAustralia,77150,108000
Australia,SouthAustralia,77150,108000
Australia,SouthAustralia,77150,92680
Australia,SouthAustralia,77150,108000
Australia,SouthAustralia,77150,108000
Australia,RegionalWest,50450,50450
Australia,RegionalWest,50450,70630
Australia,RegionalWest,50450,50450
Australia,RegionalWest,50450,50450
Australia,RegionalWest,50450,50450
Australia,RegionalWest,50450,50450
Australia,Darwin,26900,37670
Australia,Darwin,26900,37670
Australia,Darwin,26900,37660
Australia,Darwin,26900,37660
Australia,Darwin,26900,38160
Australia,Darwin,26900,43550
Australia,Brisbane,750000,750000
Australia,Brisbane,750000,750000
Australia,Sydney,3800000,4100000
Australia,Sydney,3800000,4.00E+06
Australia,Melbourne,2500000,2800000
Australia,Adelaide,250000,270000
Australia,Adelaide,250000,270000
Australia,Adelaide,250000,270000
Australia,Adelaide,250000,250000
Australia,Perth,275000,285000
Australia,Perth,275000,286000
Australia,Perth,275000,275000
Australia,Perth,275000,275000
Australia,RemoteCentral,20000,20000
Australia,Perth,137750,826300
Australia,SouthWestWA,28170,28170
Australia,RemoteAustralia,41090,41090
Australia,Darwin,18600,18600
Australia,Cairns,29040,29040
Australia,Townsville,25230,25230
Australia,Rockhampton,27720,27720
Australia,SunshineCoast,38820,38820
Australia,InnerWestQueensland,31640,31640
Australia,Brisbane,155150,5043000
Australia,GoldCoast,41610,41610
Australia,NorthernNSW,48380,48380
Australia,CentralWestNSW,36090,36090
Australia,Riverland,18780,18780
Australia,SpencerGulf,19660,19660
Australia,Adelaide,126420,1137000
Australia,Mountgambier,11090,11090
Australia,Geelong,39510,39510
Australia,Bendigo,40300,40300
Australia,Melbourne,351710,22700000
Australia,Albury,31590,31590
